ID	Text	Extra	SourceRepo	SourceCommit	SourcePath	Part	Chapter	Section	Topic	Type	ALP_IDs	Difficulty	Tags	Status	QA
BK-COM-08-0001	通常の賃貸借で、建物の借主は{{c1::支払家賃}}（費用）、土地の借主は{{c1::支払地代}}（費用）、貸主はそれぞれ{{c1::受取家賃}}・{{c1::受取地代}}（収益）で処理する。	借主側は費用、貸主側は収益として処理する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第1節 固定資産賃貸借の基礎	通常賃貸借の家賃・地代勘定	classification	ALP-COM-08-0001	1	bookkeeping::commercial chapter::commercial::08 difficulty::1 status::approved topic::通常賃貸借の家賃・地代勘定 type::classification	approved	pass
BK-COM-08-0002	賃貸借契約時、返還される敷金は{{c1::差入保証金}}（資産）、返還されない仲介手数料は{{c1::支払手数料}}（費用）で処理する。	返還の有無が資産・費用の分類を分ける。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第1節 固定資産賃貸借の基礎	敷金と仲介手数料の分類	comparison	ALP-COM-08-0002	1	bookkeeping::commercial chapter::commercial::08 difficulty::1 status::approved topic::敷金と仲介手数料の分類 type::comparison	approved	pass
BK-COM-08-0003	貸手が合意期間にわたり物件の{{c1::使用権}}を借手に与え、借手が{{c1::リース料}}を支払う取引をリース取引という。実質購入型は{{c1::ファイナンス・リース}}、単純賃貸型は{{c1::オペレーティング・リース}}に分類する。	日商簿記2級では借手側の会計処理を扱う。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第1節 1 リース取引とは	リース取引の定義と分類	classification	ALP-COM-08-0003 ALP-COM-08-0004	1	bookkeeping::commercial chapter::commercial::08 difficulty::1 status::approved topic::リース取引の定義と分類 type::classification	approved	pass
BK-COM-08-0004	リース料総額が購入価額と同程度、リース期間が耐用年数と同程度など、実質的に借入購入と考える取引は{{c1::ファイナンス・リース}}。それ以外の単なるレンタルは{{c1::オペレーティング・リース}}。実務上、前者は{{c1::フルペイアウト}}要件と{{c1::解約不能}}要件の双方を満たす。	形式より実質を重視する。フルペイアウトは経済的利益を享受し、使用コストを実質的に負担する要件。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第1節 2 ファイナンス・リース	ファイナンス・リースの実質と判定	classification	ALP-COM-08-0005 ALP-COM-08-0006 ALP-COM-08-0007	2	bookkeeping::commercial chapter::commercial::08 difficulty::2 status::approved topic::ファイナンス・リースの実質と判定 type::classification	approved	pass
BK-COM-08-0005	ファイナンス・リース開始時は通常の売買取引と同様に、（借）{{c1::リース資産}}／（貸）{{c1::リース債務}}として資産と負債を計上する。	リース資産勘定の代わりに車両など通常の資産勘定を用いる場合もある。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第2節 1 ファイナンス・リース	ファイナンス・リース開始時の仕訳	journal_entry	ALP-COM-08-0008	1	bookkeeping::commercial chapter::commercial::08 difficulty::1 status::approved topic::ファイナンス・リース開始時の仕訳 type::journal_entry	approved	pass
BK-COM-08-0006	リース料総額＝{{c1::見積現金購入価額}}＋{{c1::利息相当額}}。	リース料総額は、物件を購入する場合の見積額に利息相当額を加えた金額。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第2節 1 ファイナンス・リース	リース料総額の構成	formula	ALP-COM-08-0009	1	bookkeeping::commercial chapter::commercial::08 difficulty::1 status::approved topic::リース料総額の構成 type::formula	approved	pass
BK-COM-08-0007	{{c1::利子込み法}}では、開始時のリース資産・債務をリース料総額で計上し、リース料支払時は支払額全額をリース債務の返済とする。	利息相当額をリース資産の計上額に含めるため、支払利息を別計上しない。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第2節 1 ファイナンス・リース	利子込み法	procedure	ALP-COM-08-0010	1	bookkeeping::commercial chapter::commercial::08 difficulty::1 status::approved topic::利子込み法 type::procedure	approved	pass
BK-COM-08-0008	{{c1::利子抜き法}}では、開始時のリース資産・債務を見積現金購入価額で計上し、リース料支払時は元本返済と{{c1::支払利息}}に区分する。	利息相当額を資産計上額から除き、期間にわたり費用配分する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第2節 1 ファイナンス・リース	利子抜き法	procedure	ALP-COM-08-0011	1	bookkeeping::commercial chapter::commercial::08 difficulty::1 status::approved topic::利子抜き法 type::procedure	approved	pass
BK-COM-08-0009	利子抜き法の年額支払利息＝（{{c1::リース料総額}}－{{c1::見積現金購入価額}}）÷{{c1::リース期間}}。	教科書では利息部分を定額法により算定する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第2節 1 ファイナンス・リース	利子抜き法の年額支払利息	formula	ALP-COM-08-0012	2	bookkeeping::commercial chapter::commercial::08 difficulty::2 status::approved topic::利子抜き法の年額支払利息 type::formula	approved	pass
BK-COM-08-0010	利子抜き法のリース債務元本減少額＝{{c1::リース料支払額}}－{{c1::支払利息}}。	リース料支払額から当期の利息部分を除いた金額が元本返済部分となる。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	08 リース取引	第2節 1 ファイナンス・リース	リース債務元本減少額	formula	ALP-COM-08-0013	2	bookkeeping::commercial chapter::commercial::08 difficulty::2 status::approved topic::リース債務元本減少額 type::formula	approved	pass
