ID	Text	Extra	SourceRepo	SourceCommit	SourcePath	Part	Chapter	Section	Topic	Type	ALP_IDs	Difficulty	Tags	Status	QA
BK-COM-11-0001	外国通貨による取引を{{c1::外貨建取引}}といい、帳簿記録のため外国通貨額を円貨額へ直す処理を{{c1::換算}}という。	外貨建取引でも帳簿への記録は円貨額で行う。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第1節 1 外貨建取引と換算	外貨建取引と換算	definition	ALP-COM-11-0001	1	bookkeeping::commercial chapter::commercial::11 difficulty::1 status::approved topic::外貨建取引と換算 type::definition	approved	pass
BK-COM-11-0002	取引時の直物為替相場＝{{c1::HR}}、決算時の直物為替相場＝{{c1::CR}}。	HRはHistorical Rate、CRはCurrent Rate。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第1節 1 外貨建取引と換算	直物為替相場の呼称	definition	ALP-COM-11-0002	1	bookkeeping::commercial chapter::commercial::11 difficulty::1 status::approved topic::直物為替相場の呼称 type::definition	approved	pass
BK-COM-11-0003	円貨額＝{{c1::外国通貨額}}×{{c1::為替相場}}。	外貨額に適用すべき為替相場を乗じて円換算する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第1節 1 外貨建取引と換算	円貨換算	formula	ALP-COM-11-0003	1	bookkeeping::commercial chapter::commercial::11 difficulty::1 status::approved topic::円貨換算 type::formula	approved	pass
BK-COM-11-0004	通常の外貨建商品売買は、取引発生時の{{c1::HR}}で円換算し、仕入・売上と買掛金・売掛金を計上する。	取引発生時の直物為替相場を用いるのが原則。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第2節 1 取引発生時	通常の外貨建商品売買	recognition	ALP-COM-11-0004	1	bookkeeping::commercial chapter::commercial::11 difficulty::1 status::approved topic::通常の外貨建商品売買 type::recognition	approved	pass
BK-COM-11-0005	外貨建手付金は授受時の{{c1::HR}}で、支払側は{{c1::前払金}}、受取側は{{c1::前受金}}を計上し、商品受渡時も手付金部分には授受時の{{c1::HR}}を用いる。	手付金部分は商品受渡時のHRへ換算し直さず、授受時の円貨額をそのまま取り崩す。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第2節 1 取引発生時	外貨建手付金	measurement	ALP-COM-11-0005	2	bookkeeping::commercial chapter::commercial::11 difficulty::2 status::approved topic::外貨建手付金 type::measurement	approved	pass
BK-COM-11-0006	手付金一部充当時の商品売買額＝手付金外貨額×{{c1::手付金授受時HR}}＋残額外貨額×{{c1::商品受渡時HR}}。	手付金部分と残額債権債務では、適用するHRの時点そのものが異なる。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第2節 1 取引発生時	手付金一部充当	formula	ALP-COM-11-0006	2	bookkeeping::commercial chapter::commercial::11 difficulty::2 status::approved topic::手付金一部充当 type::formula	approved	pass
BK-COM-11-0007	外貨建金銭債権債務の決済時、帳簿円貨額と決済時円貨額との差は{{c1::為替差損益}}で処理する。	貸方に生じれば収益、借方に生じれば費用。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第2節 2 決済時	決済時の為替差損益	journal_entry	ALP-COM-11-0007	1	bookkeeping::commercial chapter::commercial::11 difficulty::1 status::approved topic::決済時の為替差損益 type::journal_entry	approved	pass
BK-COM-11-0008	決済時の方向は、買掛金なら円安→{{c1::為替差損}}・円高→{{c1::為替差益}}、売掛金なら円高→{{c1::為替差損}}・円安→{{c1::為替差益}}。	負債は決済円貨額の増加が損、資産は回収円貨額の増加が益となる。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第2節 2 決済時	決済時の損益方向	reasoning	ALP-COM-11-0008 ALP-COM-11-0009	2	bookkeeping::commercial chapter::commercial::11 difficulty::2 status::approved topic::決済時の損益方向 type::reasoning	approved	pass
BK-COM-11-0009	決算日に残る外国通貨・外貨建金銭債権債務は決算時の{{c1::CR}}で換算替えし、その換算額と決算整理前帳簿額との差を{{c1::為替差損益}}とする。	決算日時点の資産・負債を適切な円貨額で表示するための決算整理。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第2節 3 決算時	決算時の換算替え	measurement	ALP-COM-11-0010 ALP-COM-11-0011	2	bookkeeping::commercial chapter::commercial::11 difficulty::2 status::approved topic::決算時の換算替え type::measurement	approved	pass
BK-COM-11-0010	決算換算で、資産が増加または負債が減少すれば{{c1::為替差益}}、資産が減少または負債が増加すれば{{c1::為替差損}}。	資産・負債の増減方向から為替差損益を判定する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	commercial	11 外貨建取引	第2節 3 決算時	決算換算の損益方向	classification	ALP-COM-11-0012	2	bookkeeping::commercial chapter::commercial::11 difficulty::2 status::approved topic::決算換算の損益方向 type::classification	approved	pass
