ID	Text	Extra	SourceRepo	SourceCommit	SourcePath	Part	Chapter	Section	Topic	Type	ALP_IDs	Difficulty	Tags	Status	QA
BK-IND-05-0001	製造間接費は特定製品へ直接跡付けできないため、いったん製造間接費勘定へ集計し、{{c1::配賦基準}}を用いて各製品へ配賦する。	製品別に直接把握できない製造原価を合理的な基準で按分するのが配賦計算。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第1節 実際配賦	製造間接費の配賦	procedure	ALP-IND-05-0001	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::製造間接費の配賦 type::procedure	approved	pass
BK-IND-05-0002	間接材料費・間接労務費・間接経費の集計は（借）{{c1::製造間接費}}／（貸）材料・賃金・経費、各製品への配賦額合計の振替は（借）{{c1::仕掛品}}／（貸）{{c1::製造間接費}}。	間接費をいったん集約し、その後各指図書へ配賦した合計を仕掛品へ移す。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第1節 実際配賦	製造間接費の勘定連絡	journal_entry	ALP-IND-05-0002	2	bookkeeping::industrial chapter::industrial::05 difficulty::2 status::approved topic::製造間接費の勘定連絡 type::journal_entry	approved	pass
BK-IND-05-0003	製造間接費の代表的な配賦基準は、金額基準の{{c1::直接材料費}}・{{c1::直接労務費}}、時間基準の{{c1::直接作業時間}}・{{c1::機械稼働時間}}、物量基準の{{c1::生産量}}。	費用の発生との因果関係を表しやすい利用度・作業量を基準に選ぶ。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第1節 実際配賦	製造間接費の配賦基準	classification	ALP-IND-05-0003	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::製造間接費の配賦基準 type::classification	approved	pass
BK-IND-05-0004	実際配賦率＝当月の{{c1::製造間接費実際発生額}}÷当月の{{c1::実際配賦基準数値総額}}。	当月実績だけを用いて算定する配賦率。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第1節 実際配賦	実際配賦率	formula	ALP-IND-05-0004	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::実際配賦率 type::formula	approved	pass
BK-IND-05-0005	各製品への実際配賦額＝{{c1::実際配賦率}}×各製品の{{c1::実際配賦基準数値}}。	算定した実際配賦率を各製品の実際基準数値に乗じる。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第1節 実際配賦	実際配賦額	formula	ALP-IND-05-0005	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::実際配賦額 type::formula	approved	pass
BK-IND-05-0006	期首に設定した配賦率を用いて製造間接費を製品へ配賦する方法を{{c1::予定配賦}}という。実際発生額の集計前に製品原価を計算でき、月ごとの操業度変動による配賦率・製品原価の変動を抑えられる。	予定配賦は計算の迅速化と月次原価の安定化に役立つ。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第2節 予定配賦	予定配賦の定義と利点	definition	ALP-IND-05-0006 ALP-IND-05-0007	2	bookkeeping::industrial chapter::industrial::05 difficulty::2 status::approved topic::予定配賦の定義と利点 type::definition	approved	pass
BK-IND-05-0007	個別原価計算では、製造間接費は原則として{{c1::予定配賦}}する。	実際配賦の計算遅延と月次変動を避けるための原則。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第2節 予定配賦	個別原価計算の配賦原則	procedure	ALP-IND-05-0008	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::個別原価計算の配賦原則 type::procedure	approved	pass
BK-IND-05-0008	予定配賦率算定の基礎となる年間予定配賦基準を{{c1::基準操業度}}という。	通常は年間で設定し、月次分析では月間水準へ換算して用いる。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第2節 予定配賦	基準操業度	definition	ALP-IND-05-0009	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::基準操業度 type::definition	approved	pass
BK-IND-05-0009	予定配賦率＝年間の{{c1::製造間接費予定額}}÷年間の{{c1::基準操業度}}。	期首に向こう1年間の見積額と基準操業度から算定する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第2節 予定配賦	予定配賦率	formula	ALP-IND-05-0010	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::予定配賦率 type::formula	approved	pass
BK-IND-05-0010	予定配賦額＝{{c1::予定配賦率}}×{{c1::実際操業度}}。	各原価計算期間の実際操業度に期首の予定配賦率を乗じる。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	5 製造間接費	第2節 予定配賦	予定配賦額	formula	ALP-IND-05-0011	1	bookkeeping::industrial chapter::industrial::05 difficulty::1 status::approved topic::予定配賦額 type::formula	approved	pass
